"X","full_name","resale_price","registered_year","engine_capacity","insurance","transmission_type","kms_driven","owner_type","fuel_type","max_power","seats","mileage","body_type","city"
14105,"2019 Tata Tiago 1.2 Revotron XZ","₹ 4.44 Lakh","2019","1199 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","84bhp",5,"23.84 kmpl","Hatchback","Delhi"
14106,"2020 Mercedes-Benz GLC 220d 4MATIC","₹ 53 Lakh","2020","1950 cc","Third Party insurance","Automatic","50,000 Kms","Second Owner","Diesel","194bhp",5,"","SUV","Delhi"
14110,"2019 Tata Nexon 1.2 Revotron XZA Plus DualTone","₹ 9 Lakh","2019","1198 cc","Third Party insurance","Automatic","70,000 Kms","First Owner","Petrol","108.5bhp",5,"17 kmpl","SUV","Delhi"
14126,"2018 Hyundai Grand i10 1.2 CRDi Asta","₹ 4.50 Lakh","2018","1186 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Diesel","73.97bhp",5,"24 kmpl","Hatchback","Delhi"
14128,"2020 Mercedes-Benz GLC 220d 4MATIC","₹ 54 Lakh","2020","1950 cc","Third Party insurance","Automatic","50,000 Kms","Second Owner","Diesel","194bhp",5,"","SUV","Delhi"
14129,"2019 Honda City i-VTEC CVT V","₹ 9 Lakh","2019","1497 cc","Third Party insurance","Automatic","50,000 Kms","First Owner","Petrol","117.6bhp",5,"18 kmpl","Sedan","Delhi"
14130,"2018 Tata Hexa XT","₹ 10.50 Lakh","2018","2179 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Diesel","153.86bhp",7,"17.6 kmpl","SUV","Delhi"
14159,"2018 Tata Hexa XT","₹ 10 Lakh","2018","2179 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Diesel","153.86bhp",7,"17.6 kmpl","SUV","Delhi"
14180,"2018 Mahindra KUV 100 NXT G80 K2 Plus","₹ 3.20 Lakh","2018","1198 cc","Third Party insurance","Manual","30,000 Kms","Third Owner","Petrol","82bhp",6,"18.15 kmpl","Hatchback","Delhi"
14194,"2020 Hyundai i20 Sportz Plus","₹ 7.50 Lakh","2020","1197 cc","Third Party insurance","Manual","90,000 Kms","First Owner","Petrol","81.86bhp",5,"18.6 kmpl","Hatchback","Delhi"
14207,"2019 Ford Ecosport S Diesel BSIV","₹ 8.50 Lakh","2019","1498 cc","Third Party insurance","Manual","70,000 Kms","Second Owner","Diesel","98.96bhp",5,"23 kmpl","SUV","Delhi"
14227,"2019 Maruti SX4 S Cross Delta DDiS 200 SH","₹ 8 Lakh","2019","1248 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","88.5bhp",5,"25.1 kmpl","SUV","Delhi"
14252,"2020 Maruti Ciaz Delta BSVI","₹ 8 Lakh","2020","1462 cc","Third Party insurance","Manual","80,000 Kms","First Owner","Petrol","103.25bhp",5,"20.65 kmpl","Sedan","Delhi"
14253,"2019 Hyundai Santro Magna BSIV","₹ 4.50 Lakh","2019","1086 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","68bhp",5,"20.3 kmpl","Hatchback","Delhi"
14254,"2019 Maruti Vitara Brezza ZDi","₹ 9.40 Lakh","2019","1248 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Diesel","88.5bhp",5,"24.3 kmpl","SUV","Delhi"
14273,"2018 Maruti Alto 800 CNG LXI Optional","₹ 3.50 Lakh","2018","796 cc","Third Party insurance","Manual","60,000 Kms","First Owner","CNG","40.3bhp",5,"33.44 kmpl","Hatchback","Delhi"
14289,"2018 Honda City i-VTEC V","₹ 8 Lakh","2018","1497 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","117.6bhp",5,"17.4 kmpl","Sedan","Delhi"
14292,"2018 Maruti Swift LXI","₹ 4.87 Lakh","2018","1197 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","81.80bhp",5,"21.21 kmpl","Hatchback","Delhi"
14324,"2019 Hyundai Creta 1.6 SX","₹ 9.50 Lakh","2019","1591 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Petrol","121.3bhp",5,"15.8 kmpl","SUV","Delhi"
