"X","full_name","resale_price","registered_year","engine_capacity","insurance","transmission_type","kms_driven","owner_type","fuel_type","max_power","seats","mileage","body_type","city"
16032,"2020 Hyundai Venue SX Opt Turbo","₹ 9 Lakh","2020","998 cc","Third Party insurance","Manual","90,000 Kms","First Owner","Petrol","118.35bhp",5,"18.27 kmpl","SUV","Mumbai"
16041,"2018 Maruti Wagon R LXI CNG","₹ 3.40 Lakh","2018","998 cc","Third Party insurance","Manual","50,000 Kms","Second Owner","CNG","58.16bhp",5,"26.6 kmpl","Hatchback","Mumbai"
16046,"2018 Ford Freestyle Titanium Plus Petrol BSIV","₹ 6 Lakh","2018","1194 cc","Third Party insurance","Manual","40,000 Kms","Second Owner","Petrol","94.68bhp",5,"19 kmpl","Hatchback","Mumbai"
16049,"2018 Honda Amaze VX i-VTEC","₹ 6.95 Lakh","2018","1198 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","86.7bhp",5,"17.8 kmpl","Sedan","Mumbai"
16056,"2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV","₹ 5.50 Lakh","2019","1197 cc","Third Party insurance","Manual","10,000 Kms","First Owner","Petrol","81.86bhp",5,"18.9 kmpl","Hatchback","Mumbai"
16061,"2018 Maruti Vitara Brezza VDi","₹ 7 Lakh","2018","1248 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Diesel","88.5bhp",5,"24.3 kmpl","SUV","Mumbai"
16576,"2019 Maruti Swift VXI","₹ 5.30 Lakh","2019","1197 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Petrol","81.80bhp",5,"21.21 kmpl","Hatchback","Gurgaon"
16597,"2018 Hyundai Verna CRDi 1.6 AT SX Plus","₹ 8.50 Lakh","2018","1582 cc","Third Party insurance","Automatic","80,000 Kms","Third Owner","Diesel","126.2bhp",5,"22 kmpl","Sedan","Gurgaon"
16602,"2019 Hyundai i20 Asta Option CVT BSIV","₹ 6 Lakh","2019","1197 cc","Third Party insurance","Automatic","20,000 Kms","Second Owner","Petrol","81.86bhp",5,"17.4 kmpl","Hatchback","Gurgaon"
16620,"2018 Hyundai Verna CRDi 1.6 SX","₹ 7.20 Lakh","2018","1582 cc","Third Party insurance","Manual","80,000 Kms","Third Owner","Diesel","126.2bhp",5,"22 kmpl","Sedan","Gurgaon"
16626,"2018 Hyundai Grand i10 1.2 Kappa Magna BSIV","₹ 4.50 Lakh","2018","1197 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","81.86bhp",5,"18.9 kmpl","Hatchback","Gurgaon"
16633,"2018 Renault KWID 1.0 AMT RXT","₹ 3 Lakh","2018","999 cc","Third Party insurance","Automatic","60,000 Kms","First Owner","Petrol","67bhp",5,"24.04 kmpl","Hatchback","Gurgaon"
16641,"2019 Renault KWID RXL","₹ 2.95 Lakh","2019","799 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","53.3bhp",5,"25.17 kmpl","Hatchback","Gurgaon"
16771,"2018 Maruti Ertiga ZDI Plus","₹ 9.50 Lakh","2018","1248 cc","Third Party insurance","Manual","1,20,000 Kms","First Owner","Diesel","88.50bhp",7,"25.47 kmpl","MUV","Hyderabad"
16774,"2020 Tata Altroz XZ Option Diesel","₹ 8.50 Lakh","2020","1497 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Diesel","88.77bhp",5,"23.03 kmpl","Hatchback","Hyderabad"
16775,"2019 Renault KWID 1.0 RXT Opt BSIV","₹ 2.60 Lakh","2019","999 cc","Third Party insurance","Manual","40,000 Kms","Second Owner","Petrol","67bhp",5,"23.01 kmpl","Hatchback","Hyderabad"
16803,"2019 Maruti Swift LXI","₹ 5 Lakh","2019","1197 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Petrol","81.80bhp",5,"21.21 kmpl","Hatchback","Gurgaon"
17106,"2018 Hyundai Grand i10 1.2 Kappa Magna BSIV","₹ 5.30 Lakh","2018","1197 cc","Third Party insurance","Manual","30,000 Kms","Second Owner","Petrol","81.86bhp",5,"18.9 kmpl","Hatchback","Bangalore"
17110,"2018 Hyundai Grand i10 1.2 Kappa Sportz Option AT","₹ 6.30 Lakh","2018","1197 cc","Third Party insurance","Automatic","40,000 Kms","First Owner","Petrol","81.86bhp",5,"18.9 kmpl","Hatchback","Bangalore"
